LCO,MtJ_capex,ch3oh_capex,ch3oh_co2,ch3oh_elec,ch3oh_h2_capex,ch3oh_h2_elec,ch3oh_h2_opex,ch3oh_opex,MtJ_elec,MtJ_h2_capex,MtJ_h2_elec,MtJ_h2_opex,MtJ_opex,Year,case
507.79396489323153,22.441644335004234,23.968492209578528,172.39499999999998,4.27795,94.98667147940783,120.82384615384613,32.08018104000001,8.702518518518518,5.45,5.563581931805057,7.076923076923077,1.8790080000000007,8.148148148148147,2024.0,medium
479.41654092669137,21.041829768362636,22.230776524384083,166.64849999999998,4.159118055555557,85.57357790937644,116.3326752756101,28.901063999999998,8.071585925925925,5.2986111111111125,5.01223597459915,6.813865147198483,1.6927999999999999,7.639901234567899,2025.0,medium
451.10777008373174,19.64201520172104,20.49306083918964,160.90200000000002,4.0402861111111115,76.160484339345,111.90635885048927,25.72194696,7.440653333333333,5.147222222222222,4.460890017393243,6.554605887939221,1.5065920000000002,7.1316543209876535,2026.0,medium
422.8676523643528,18.242200635079445,18.755345153995194,155.15550000000002,3.921454166666667,66.74739076931361,107.54489687848381,22.542829920000003,6.80972074074074,4.995833333333334,3.9095440601873372,6.299145299145298,1.3203840000000002,6.623407407407407,2027.0,medium
394.69618776855464,16.842386068437847,17.017629468800752,149.409,3.802622222222223,57.33429719928219,103.2482893595937,19.363712879999994,6.178788148148148,4.844444444444445,3.3581981029814303,6.047483380816715,1.1341759999999999,6.11516049382716,2028.0,medium
366.59337629633706,15.442571501796252,15.27991378360631,143.6625,3.6837902777777773,47.92120362925078,99.0165362938189,16.18459584,5.547855555555555,4.693055555555555,2.8068521457755233,5.799620132953467,0.947968,5.606913580246914,2029.0,medium
338.5592179477001,14.04275693515465,13.542198098411866,137.916,3.5649583333333323,38.50811005921939,94.84963768115941,13.0054788,4.916922962962962,4.541666666666665,2.2555061885696177,5.555555555555555,0.7617600000000001,5.098666666666666,2030.0,medium
290.1420698357887,13.08225455761647,12.240865287685295,112.05675,3.2084625,33.69459630181698,83.65738043478264,11.379793950000005,4.444432962962963,4.0875,1.973567914998416,4.900000000000001,0.6665400000000002,4.749925925925925,2035.0,medium
242.12654249682402,12.121752180078289,10.939532476958721,86.19749999999999,2.851966666666667,28.881082544414543,72.84452173913043,9.754109099999999,3.971942962962962,3.6333333333333337,1.6916296414272132,4.266666666666667,0.5713199999999999,4.401185185185184,2040.0,medium
194.51263593080625,11.161249802540109,9.638199666232147,60.338249999999995,2.4954708333333335,24.06756878701212,62.411061594202906,8.128424250000002,3.499452962962962,3.1791666666666667,1.409691367856011,3.655555555555556,0.47610000000000013,4.052444444444444,2045.0,medium
147.30035013773534,10.200747425001925,8.336866855505574,34.479,2.138975,19.254055029609695,52.356999999999985,6.5027394,3.0269629629629624,2.725,1.127753094284809,3.0666666666666664,0.3808800000000001,3.7037037037037033,2050.0,medium
561.0520775073121,24.956909545701503,27.180485883638934,200.54698561380707,4.976536309675954,91.33204577267314,140.55429760967675,30.845891507800705,9.868734323228352,6.3399812732112215,5.349522324990564,8.23257977608232,1.8067128997190216,9.061394667106516,2024.0,high
532.1537766225373,23.387118541087833,25.345186551968204,192.45448681265646,4.887006154020693,82.94812840741184,136.6920804823505,28.01436174985683,9.20237090406816,6.225922121439655,4.85845752142782,8.006361075167439,1.6408638647406768,8.491432436341125,2025.0,high
503.32137541455836,21.817537488430407,23.511780326357737,184.3619880115059,4.797833931826733,74.56421104215056,132.8886397929879,25.182831991912952,8.536694836886676,6.1123189678363925,4.367392717865075,7.783585041767664,1.4750148297623316,7.921546435268084,2026.0,high
474.5536236245019,20.248219692226904,21.680453003131653,176.2694892103553,4.708979202724604,66.18029367688929,129.142573452648,22.351302233969086,7.871773580910679,5.99912029239451,3.876327914302331,7.564169552395806,1.3091657947839868,7.351756017769735,2027.0,high
445.8495433975014,18.679238033207948,19.851410614290018,168.17699040920468,4.620407052803223,57.79637631162796,125.45267356801774,19.519772476025196,7.207681942568543,5.886281615675163,3.3852631107395847,7.348043858037214,1.1433167598056408,6.782087645498417,2028.0,high
417.2084109592366,17.110694779162802,18.024881232695755,160.08449160805412,4.532087242762332,49.41245894636669,121.8178960042309,16.68824271808133,6.54450273092043,5.77376441357536,2.8941983071768407,7.135146801375965,0.977467724827296,6.212578450006758,2029.0,high
388.6297527551567,15.54273788225893,16.201116690089727,151.99199280690354,4.44399349613337,41.02854158110541,118.23733506909032,13.85671296013746,5.882327381437922,5.6615352105393635,2.403133503614097,6.925425333993106,0.8116186898489514,5.643282150004552,2030.0,high
337.89375219858346,14.460794177473968,14.610200536780557,126.13274280690354,4.041473582966362,36.29379130876192,105.37729303282832,12.25762917764175,5.304694997868527,5.148735031303936,2.125808583638034,6.172183890737441,0.7179567739067307,5.250448297772373,2035.0,high
287.649653460746,13.382394735986816,13.032364600735928,100.27349280690353,3.6394917027246043,31.559041036418428,92.95937275745645,10.658545395146046,4.73181180052143,4.636620292394509,1.848483663661972,5.444838508499974,0.6242948579645106,4.85890130233177,2040.0,high
237.90895080858283,12.308632629859774,11.47353026432496,74.41424280690353,3.238146719341948,26.82429076407495,80.98518790618992,9.059461612650342,4.165827734385735,4.125316943959985,1.5711587436859098,4.743483703146649,0.5306329420222903,4.469038038036834,2045.0,high
188.68858600163855,11.24102362846825,9.942863692535779,48.55499280690353,2.8375613096759533,22.08954049173146,69.45672459505317,7.460377830154636,3.6100708653178804,3.6149812732112214,1.2938338237098475,4.06823580593801,0.4369710260800699,4.081408852858725,2050.0,high
